Nombre,Estado,Partido,Correo,Comisiones
Beatriz Andrea Navarro Pérez,Nayarit,MORENA,beatriz.navarro@diputados.gob.mx,"Federalismo y Desarrollo Municipal, Presupuesto y Cuenta Pública, Economía Social y Fomento del Cooperativismo"
Julia Arcelia Olguín Serna,Zacatecas,MORENA,julia.olguin@diputados.gob.mx,"Trabajo y Previsión Social, Seguridad Ciudadana, Presupuesto y Cuenta Pública"
Arturo Olivares Cerda,Ciudad de México,MORENA,arturo.olivares@diputados.gob.mx,"Derechos de la Niñez y Adolescencia, Bienestar, Seguridad Social"
Luis Arturo Oliver Cen,Yucatán,MORENA,luis.oliver@diputados.gob.mx,"Seguridad Ciudadana, Marina, Defensa Nacional"
María Del Rosario Orozco Caballero,Puebla,MORENA,maria.orozco@diputados.gob.mx,"Puntos Constitucionales, Gobernación y Población, Desarrollo Urbano y Ordenamiento Territorial"
Rosa Guadalupe Ortega Tiburcio,Michoacán,MORENA,rosa.ortega@diputados.gob.mx,"Salud, Protección Civil y Prevención de Desastres, Bienestar"
Adrián Oseguera Kernion,Tamaulipas,MORENA,adrian.oseguera@diputados.gob.mx,"Seguridad Ciudadana, Hacienda y Crédito Público, Energía"
Bertha Osorio Ferral,Veracruz,MORENA,bertha.osorio@diputados.gob.mx,"Relaciones Exteriores, Federalismo y Desarrollo Municipal, Derechos de la Niñez y Adolescencia"
Tatiana Tonantzin P. Ángeles Moreno,Hidalgo,MORENA,tatiana.angeles@diputados.gob.mx,"Transparencia y Anticorrupción, Recursos Hidráulicos, Agua Potable y Saneamiento, Economía Social y Fomento del Cooperativismo"
María De Los Dolores Padierna Luna,Ciudad de México,MORENA,maria.padierna@diputados.gob.mx,diversas comisiones legislativas
Sandra Patricia Palacios Medina,Nuevo León,MORENA,sandra.palacios@diputados.gob.mx,"Zonas Metropolitanas, Vivienda, Gobernación y Población"
Carlos Ventura Palacios Rodríguez,Jalisco,MORENA,carlos.palacios@diputados.gob.mx,"Hacienda y Crédito Público, Turismo, Ganadería"
Mayra Dolores Palomar González,Jalisco,MORENA,mayra.palomar@diputados.gob.mx,"Educación, Economía Social y Fomento del Cooperativismo, Atención a Grupos Vulnerables"
Iván Peña Vidal,Tabasco,MORENA,ivan.pena@diputados.gob.mx,"Vivienda, Turismo, Movilidad"
José Alejandro Peña Villa,Estado de México,MORENA,josealejandro.pena@diputados.gob.mx,"Vivienda, Puntos Constitucionales, Educación"
Jesús Irugami Perea Cruz,Ciudad de México,MORENA,irugami.perea@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Desarrollo Urbano y Ordenamiento Territorial, Bienestar"
Jaime Humberto Pérez Bernabe,Veracruz,MORENA,jaime.perez@diputados.gob.mx,"Gobernación y Población, Defensa Nacional, Cambio Climático y Sostenibilidad"
María Fabiola Karina Pérez Popoca,Puebla,MORENA,karina.perez@diputados.gob.mx,"Economía, Comercio y Competitividad, Cultura y Cinematografía, Bienestar"
Estela Carina Piceno Navarro,Ciudad de México,MORENA,carina.piceno@diputados.gob.mx,"Zonas Metropolitanas, Relaciones Exteriores, Jurisdiccional, Justicia"
Aniceto Polanco Morales,Guerrero,MORENA,aniceto.polanco@diputados.gob.mx,"Transparencia y Anticorrupción, Relaciones Exteriores, Asuntos Migratorios"
Felicita Pompa Robles,Sinaloa,MORENA,felicita.pompa@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Marina, Bienestar"
Any Marilú Porras Baylón,Nayarit,MORENA,any.porras@diputados.gob.mx,"Pesca, Igualdad de Género, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Ernesto Alejandro Prieto Gallardo,Guanajuato,MORENA,ernesto.prieto@diputados.gob.mx,"Reforma Política-Electoral, Energía, Justicia"
Jesús Antonio Pujol Irastorza,Sonora,MORENA,jesus.pujol@diputados.gob.mx,"Seguridad Ciudadana, Defensa Nacional, Asuntos Frontera Norte"
Adriana Belinda Quiroz Gallegos,Nuevo León,MORENA,adriana.quiroz@diputados.gob.mx,"Jurisdiccional, Gobernación y Población, Energía, Comunicaciones y Transportes"
Jessica Ramírez Cisneros,Veracruz,MORENA,jessica.ramirez@diputados.gob.mx,"Reforma Política-Electoral, Derechos de la Niñez y Adolescencia, Asuntos Migratorios"
Alfonso Ramírez Cuéllar,Zacatecas,MORENA,alfonso.ramirez@diputados.gob.mx,"Presupuesto y Cuenta Pública, Hacienda y Crédito Público"
Emilio Ramón Ramírez Guzmán,Chiapas,MORENA,emilio.ramirez@diputados.gob.mx,"Salud, Pueblos Indígenas y Afromexicanos, Bienestar"
Juan Guillermo Rendón Gómez,Ciudad de México,MORENA,juan.rendon@diputados.gob.mx,"Salud, Deporte, Ciencia, Tecnología e Innovación"
Sonia Rincón Chanona,Chiapas,MORENA,sonia.rincon@diputados.gob.mx,"Seguridad Social, Presupuesto y Cuenta Pública, Educación"
Claudia Rivera Vivanco,Puebla,MORENA,claudia.rivera@diputados.gob.mx,"Transparencia y Anticorrupción, Hacienda y Crédito Público, Federalismo y Desarrollo Municipal"
Luz María Rodríguez Pérez,Oaxaca,MORENA,luzmaria.rodriguez@diputados.gob.mx,"Energía, Economía Social y Fomento del Cooperativismo, Economía, Comercio y Competitividad"
Petra Romero Gomez,Nuevo León,MORENA,petra.romero@diputados.gob.mx,"Trabajo y Previsión Social, Atención a Grupos Vulnerables, Asuntos Frontera Norte"
María Magdalena Rosales Cruz,Guanajuato,MORENA,mmagdalena.rosales@diputados.gob.mx,"Seguridad Social, Salud, Relaciones Exteriores"
María Rosete,Ciudad de México,MORENA,maria.rosete@diputados.gob.mx,"Igualdad de Género, Atención a Grupos Vulnerables, Justicia"
Mirna María De La Luz Rubio Sánchez,Hidalgo,MORENA,mariadelaluz.rubio@diputados.gob.mx,"Trabajo y Previsión Social, Seguridad Social, Educación"
Alma Laura Ruiz López,Baja California,MORENA,alma.ruiz@diputados.gob.mx,"Vivienda, Desarrollo Urbano y Ordenamiento Territorial, Bienestar"
Montserrat Ruiz Páez,Estado de México,MORENA,montserrat.ruiz@diputados.gob.mx,"Relaciones Exteriores, Recursos Hidráulicos, Agua Potable y Saneamiento, Deporte"
Jessica Saiden Quiroz,Yucatán,MORENA,jessica.saiden@diputados.gob.mx,"Relaciones Exteriores, Defensa Nacional, Seguridad Ciudadana"
Magda Erika Salgado Ponce,Morelos,MORENA,magda.salgado@diputados.gob.mx,"Turismo, Seguridad Ciudadana, Cambio Climático y Sostenibilidad"
Nancy Guadalupe Sánchez Arredondo,Baja California,MORENA,nancy.sanchez@diputados.gob.mx,"Pesca, Medio Ambiente y Recursos Naturales, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Carlos Sánchez Barrios,Guerrero,MORENA,carlos.sanchezb@diputados.gob.mx,"Federalismo y Desarrollo Municipal, Comunicaciones y Transportes"
Francisco Javier Sánchez Cervantes,Ciudad de México,MORENA,javier.sanchez@diputados.gob.mx,"Reforma Política-Electoral, Protección Civil y Prevención de Desastres, Marina"
Olga María Del Carmen Sánchez Cordero Dávila,Ciudad de México,MORENA,olga.sanchezcordero@diputados.gob.mx,"Derechos Humanos, Justicia, Puntos Constitucionales"
Gloria Sánchez López,Oaxaca,MORENA,gloria.sanchez@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Pesca, Energía"
Jorge Luis Sánchez Reyes,Yucatán,MORENA,jorgeluis.sanchez@diputados.gob.mx,"Reforma Política-Electoral, Pesca, Ganadería"
Gissel Santander Soto,Puebla,MORENA,gissel.santander@diputados.gob.mx,"Cultura y Cinematografía, Derechos de la Niñez y Adolescencia, Vigilancia de la Auditoría Superior de la Federación"
Guillermo Rafael Santiago Rodríguez,Chiapas,MORENA,guillermo.santiago@diputados.gob.mx,"Justicia, Reforma Política-Electoral, Puntos Constitucionales"
Rosalinda Savala Díaz,Michoacán,MORENA,rosalinda.savala@diputados.gob.mx,"Marina, Educación, Cambio Climático y Sostenibilidad"
Elena Edith Segura Trejo,Ciudad de México,MORENA,elena.segura@diputados.gob.mx,"Justicia, Transparencia y Anticorrupción, Presupuesto y Cuenta Pública"
Nadia Yadira Sepúlveda García,Jalisco,MORENA,nadia.sepulveda@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Medio Ambiente y Recursos Naturales, Asuntos Migratorios"
Delhi Miroslava Shember Domínguez,Michoacán,MORENA,delhi.shember@diputados.gob.mx,"Presupuesto y Cuenta Pública, Trabajo y Previsión Social, Cultura y Cinematografía"
Aciel Sibaja Mendoza,Oaxaca,MORENA,aciel.sibaja@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Infraestructura, Educación"
Maria Damaris Silva Santiago,Michoacán,MORENA,damaris.silva@diputados.gob.mx,"Relaciones Exteriores, Diversidad, Asuntos Migratorios"
Maribel Solache González,Ciudad de México,MORENA,maribel.solache@diputados.gob.mx,"Relaciones Exteriores, Reforma Política-Electoral, Asuntos Frontera Norte"
Roselia Suárez Montes De Oca,Michoacán,MORENA,roselia.suarez@diputados.gob.mx,"Relaciones Exteriores, Asuntos Migratorios, Asuntos Frontera Norte"
Javier Taja Ramírez,Guerrero,MORENA,javier.taja@diputados.gob.mx,"Transparencia y Anticorrupción, Turismo, Infraestructura, Gobernación y Población"
Paola Tenorio Adame,Veracruz,MORENA,paola.tenorio@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Pesca, Hacienda y Crédito Público"
Gerardo Ulloa Pérez,Estado de México,MORENA,gerardo.ulloa@diputados.gob.mx,"Salud, Recursos Hidráulicos, Agua Potable y Saneamiento, Justicia"
Rosa Irene Urbina Castañeda,Chiapas,MORENA,rosa.urbina@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Asuntos Migratorios, Asuntos Frontera Sur"
Gabriela Valdepeñas González,Estado de México,MORENA,gabriela.valdepenas@diputados.gob.mx,"Régimen, Reglamentos y Prácticas Parlamentarias, Puntos Constitucionales, Derechos Humanos"
Jesús Valdés Peña,Ciudad de México,MORENA,jesus.valdes@diputados.gob.mx,"Trabajo y Previsión Social, Economía, Comercio y Competitividad, Economía Social y Fomento del Cooperativismo"
Gricelda Valencia De La Mora,Colima,MORENA,gricelda.valencia@diputados.gob.mx,"Transparencia y Anticorrupción, Economía Social y Fomento del Cooperativismo, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Juan Carlos Varela Domínguez,Estado de México,MORENA,juan.varela@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Ganadería, Educación"
Teresita De Jesús Vargas Meraz,Chihuahua,MORENA,teresita.vargas@diputados.gob.mx,"Relaciones Exteriores, Bienestar, Asuntos Frontera Norte"
Adasa Saray Vázquez,Sinaloa,MORENA,adasa.saray@diputados.gob.mx,"Seguridad Social, Derechos Humanos, Derechos de la Niñez y Adolescencia"
Antares Guadalupe Vázquez Alatorre,Guanajuato,MORENA,antares.vazquez@diputados.gob.mx,"Salud, Presupuesto y Cuenta Pública, Educación"
Manuel Vazquez Arellano,Guerrero,MORENA,manuel.arellano@diputados.gob.mx,"Gobernación y Población, Puntos Constitucionales, Derechos Humanos"
Raymundo Vázquez Conchas,Tlaxcala,MORENA,raymundo.vazquez@diputados.gob.mx,"Relaciones Exteriores, Infraestructura, Energía"
Dionicia Vázquez García,Estado de México,MORENA,dionicia.vazquez@diputados.gob.mx,"Protección Civil y Prevención de Desastres, Derechos Humanos, Defensa Nacional"
Enrique Vázquez Navarro,Quintana Roo,MORENA,enrique.navarro@diputados.gob.mx,"Transparencia y Anticorrupción, Turismo, Relaciones Exteriores, Economía, Comercio y Competitividad"
Miriam De Los Angeles Vázquez Ruíz,Oaxaca,MORENA,miriam.vazquez@diputados.gob.mx,"Trabajo y Previsión Social, Seguridad Ciudadana, Asuntos Frontera Sur"
Alfredo Vázquez Vázquez,Chiapas,MORENA,alfredo.vazquez@diputados.gob.mx,"Puntos Constitucionales, Pueblos Indígenas y Afromexicanos, Desarrollo Urbano y Ordenamiento Territorial"
Aremy Velazco Bautista,San Luis Potosí,MORENA,aremy.velazco@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Juventud, Energía"
Francisco Javier Velázquez Vallejo,Veracruz,MORENA,javier.velazquez@diputados.gob.mx,"Infraestructura, Energía, Desarrollo Urbano y Ordenamiento Territorial"
Marcela Velázquez Vázquez,Michoacán,MORENA,marcela.velazquez@diputados.gob.mx,"Salud, Pueblos Indígenas y Afromexicanos, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Julieta Kristal Vences Valencia,Puebla,MORENA,julieta.vences@diputados.gob.mx,"Justicia, Puntos Constitucionales, Igualdad de Género"
Zoraya Villacis Palacios,Veracruz,MORENA,zoraya.villacis@diputados.gob.mx,"Marina, Desarrollo Urbano y Ordenamiento Territorial, Cultura y Cinematografía"
Julieta Villalpando Riquelme,Estado de México,MORENA,julieta.villalpando@diputados.gob.mx,diversas comisiones legislativas
Jazmín Yaneli Villanueva Moo,Yucatán,MORENA,jazmin.villanueva@diputados.gob.mx,"Transparencia y Anticorrupción, Derechos Humanos, Derechos de la Niñez y Adolescencia"
Freyda Marybel Villegas Canché,Quintana Roo,MORENA,freyda.villegas@diputados.gob.mx,"Hacienda y Crédito Público, Igualdad de Género, Transparencia y Anticorrupción"
Dulce María Corina Villegas Guarneros,Veracruz,MORENA,dulce.villegas@diputados.gob.mx,"Seguridad Ciudadana, Desarrollo Urbano y Ordenamiento Territorial, Derechos de la Niñez y Adolescencia"
Merary Villegas Sánchez,Sinaloa,MORENA,merary.villegas@diputados.gob.mx,"Seguridad Social, Igualdad de Género, Hacienda y Crédito Público"
Alma Marina Vitela Rodríguez,Durango,MORENA,alma.vitela@diputados.gob.mx,"Salud, Infraestructura, Energía"
Xóchitl Nashielly Zagal Ramírez,Estado de México,MORENA,xochitl.zagal@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Puntos Constitucionales, Medio Ambiente y Recursos Naturales"
Joaquín Zebadúa Alva,Chiapas,MORENA,joaquin.zebadua@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Medio Ambiente y Recursos Naturales, Gobernación y Población"
Pedro Mario Zenteno Santaella,Estado de México,MORENA,pedro.zenteno@diputados.gob.mx,"Seguridad Social, Presupuesto y Cuenta Pública, Salud"
Marisela Zúñiga Cerón,Ciudad de México,MORENA,marisela.zuniga@diputados.gob.mx,"Educación, Derechos Humanos, Bienestar"
Yerico Abramo Masso,Coahuila,PRI,yerico.abramo@diputados.gob.mx,"Trabajo y Previsión Social, Presupuesto y Cuenta Pública, Hacienda y Crédito Público"
Erubiel Lorenzo Alonso Que,Tabasco,PRI,erubiel.alonso@diputados.gob.mx,"Trabajo y Previsión Social, Reforma Política-Electoral, Economía, Comercio y Competitividad"
Miguel Alejandro Alonso Reyes,Zacatecas,PRI,miguel.alonso@diputados.gob.mx,"Turismo, Gobernación y Población, Asuntos Migratorios"
Humberto Ambriz Delgadillo,Aguascalientes,PRI,humberto.ambriz@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Infraestructura, Ciencia, Tecnología e Innovación"
Abigail Arredondo Ramos,Querétaro,PRI,abigail.arredondo@diputados.gob.mx,"Reforma Política-Electoral, Movilidad, Bienestar"
Leticia Barrera Maldonado,Estado de México,PRI,leticia.barrera@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Economía Social y Fomento del Cooperativismo, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Israel Betanzos Cortes,Ciudad de México,PRI,israel.betanzos@diputados.gob.mx,"Zonas Metropolitanas, Transparencia y Anticorrupción, Seguridad Ciudadana"
Mario Calzada Mercado,Querétaro,PRI,mario.calzada@diputados.gob.mx,"Deporte, Recursos Hidráulicos, Agua Potable y Saneamiento, Protección Civil y Prevención de Desastres"
Andrés Mauricio Cantú Ramírez,Nuevo León,PRI,andres.cantu@diputados.gob.mx,"Marina, Gobernación y Población, Comunicaciones y Transportes"
Christian Mishel Castro Bello,Campeche,PRI,christian.castro@diputados.gob.mx,"Hacienda y Crédito Público, Defensa Nacional, Bienestar"
Xitlalic Ceja García,Puebla,PRI,xitlalic.ceja@diputados.gob.mx,"Salud, Igualdad de Género, Educación"
Noel Chávez Velázquez,Chihuahua,PRI,noel.chavez@diputados.gob.mx,"Turismo, Medio Ambiente y Recursos Naturales, Cambio Climático y Sostenibilidad"
César Alejandro Domínguez Domínguez,Chihuahua,PRI,cesar.dominguez@diputados.gob.mx,"Puntos Constitucionales, Defensa Nacional, Justicia"
Paloma Domínguez Ugarte,Sonora,PRI,paloma.dominguez@diputados.gob.mx,"Derechos Humanos, Cambio Climático y Sostenibilidad, Atención a Grupos Vulnerables"
Juan Francisco Espinoza Eguía,Nuevo León,PRI,francisco.espinoza@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Ganadería, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Ana Isabel González González,Nuevo León,PRI,ana.gonzalez@diputados.gob.mx,"Salud, Educación, Deporte"
Marcela Guerra Castillo,Nuevo León,PRI,marcela.guerra@diputados.gob.mx,"Relaciones Exteriores, Régimen, Reglamentos y Prácticas Parlamentarias, Asuntos Migratorios"
Fuensanta Guadalupe Guerrero Esquivel,Zacatecas,PRI,fuensanta.guerrero@diputados.gob.mx,diversas comisiones legislativas
Hugo Eduardo Gutiérrez Arroyo,Estado de México,PRI,hugo.gutierrez@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Energía, Economía, Comercio y Competitividad"
Carlos Eduardo Gutiérrez Mancilla,Ciudad de México,PRI,carlos.gutierrez@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Trabajo y Previsión Social, Juventud"
Ofelia Socorro Jasso Nieto,Estado de México,PRI,ofelia.jasso@diputados.gob.mx,"Protección Civil y Prevención de Desastres, Derechos de la Niñez y Adolescencia, Atención a Grupos Vulnerables"
Emilio Lara Calderón,Campeche,PRI,emilio.lara@diputados.gob.mx,"Seguridad Ciudadana, Hacienda y Crédito Público, Ganadería"
Verónica Martínez García,Coahuila,PRI,veronica.martinez@diputados.gob.mx,"Relaciones Exteriores, Infraestructura, Energía"
Juan Antonio Meléndez Ortega,Chihuahua,PRI,juan.melendez@diputados.gob.mx,"Vivienda, Ganadería, Cultura y Cinematografía"
Rubén Ignacio Moreira Valdez,Coahuila,PRI,ruben.moreira@diputados.gob.mx,"Puntos Constitucionales, Jurisdiccional, Radio y Televisión, Relaciones Exteriores"
Juan Moreno De Haro,Durango,PRI,juan.deharo@diputados.gob.mx,"Medio Ambiente y Recursos Naturales, Juventud, Educación"
Nadia Navarro Acevedo,Puebla,PRI,nadia.navarro@diputados.gob.mx,"Puntos Constitucionales, Presupuesto y Cuenta Pública, Asuntos Migratorios"
Graciela Ortiz González,Chihuahua,PRI,graciela.gonzalez@diputados.gob.mx,"Derechos de la Niñez y Adolescencia, Asuntos Frontera Norte, Gobernación y Población"
Víctor Samuel Palma César,Morelos,PRI,victor.palma@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Medio Ambiente y Recursos Naturales, Bienestar"
Lorena Piñón Rivera,Veracruz,PRI,lorena.pinon@diputados.gob.mx,"Energía, Relaciones Exteriores, Defensa Nacional"
Ariana Del Rocio Rejón Lara,Campeche,PRI,ariana.rejon@diputados.gob.mx,"Marina, Federalismo y Desarrollo Municipal, Energía"
Laura Ivonne Ruíz Moreno,Estado de México,PRI,laura.ruiz@diputados.gob.mx,"Vivienda, Salud, Educación"
Luis Gerardo Sánchez Sánchez,Guanajuato,PRI,luisgerardo.sanchez@diputados.gob.mx,"Turismo, Seguridad Social, Federalismo y Desarrollo Municipal"
Mónica Elizabeth Sandoval Hernández,Ciudad de México,PRI,monica.sandoval@diputados.gob.mx,"Salud, Diversidad, Comunicaciones y Transportes"
Emilio Suárez Licona,Ciudad de México,PRI,emilio.suarez@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Hacienda y Crédito Público, Justicia"
Arturo Yañez Cuellar,Durango,PRI,arturo.yanez@diputados.gob.mx,"Presupuesto y Cuenta Pública, Transparencia y Anticorrupción, Justicia"
Mario Zamora Gastélum,Sinaloa,PRI,mario.zamora@diputados.gob.mx,"Presupuesto y Cuenta Pública, Economía, Comercio y Competitividad, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
José Guillermo Anaya Llamas,Coahuila,PAN,jose.anaya@diputados.gob.mx,"Vivienda, Hacienda y Crédito Público, Justicia"
David Azuara Zúñiga,San Luis Potosí,PAN,david.azuara@diputados.gob.mx,"Turismo, Energía, Desarrollo Urbano y Ordenamiento Territorial"
Ana María Balderas Trejo,Estado de México,PAN,ana.balderas@diputados.gob.mx,"Trabajo y Previsión Social, Protección Civil y Prevención de Desastres, Igualdad de Género"
Monica Becerra Moreno,Aguascalientes,PAN,monica.becerra@diputados.gob.mx,"Seguridad Ciudadana, Salud, Comunicaciones y Transportes"
Omar Antonio Borboa Becerra,Jalisco,PAN,omar.borboa@diputados.gob.mx,"Marina, Energía, Cultura y Cinematografía"
Nubia Iris Castillo Medina,San Luis Potosí,PAN,nubia.castillo@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria, Cambio Climático y Sostenibilidad"
Fidel Daniel Chimal García,Ciudad de México,PAN,fidel.chimal@diputados.gob.mx,"Radio y Televisión, Medio Ambiente y Recursos Naturales, Economía Social y Fomento del Cooperativismo"
David Alejandro Cortés Mendoza,Michoacán,PAN,david.cortes@diputados.gob.mx,"Régimen, Reglamentos y Prácticas Parlamentarias, Gobernación y Población, Derechos Humanos"
César Israel Damián Retes,Baja California,PAN,cesar.damian@diputados.gob.mx,"Seguridad Ciudadana, Asuntos Migratorios, Justicia"
Maria Del Rosario Vera,Veracruz,PAN,maria.delrosario@diputados.gob.mx,"Turismo, Radio y Televisión, Energía"
Federico Döring Casar,Ciudad de México,PAN,federico.doring@diputados.gob.mx,"Seguridad Ciudadana, Hacienda y Crédito Público, Cambio Climático y Sostenibilidad"
Paola Milagros Espinosa Sánchez,Jalisco,PAN,paola.espinosa@diputados.gob.mx,"Juventud, Derechos de la Niñez y Adolescencia, Deporte"
Abril Ferreyro Rosado,Yucatán,PAN,abril.ferreyro@diputados.gob.mx,"Relaciones Exteriores, Radio y Televisión, Diversidad"
Ma. Lorena García Jimeno Alcocer,Querétaro,PAN,lorena.garcia@diputados.gob.mx,"Vivienda, Igualdad de Género, Desarrollo Urbano y Ordenamiento Territorial"
Samantha Margarita Garza De La Garza,Nuevo León,PAN,samantha.garza@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Movilidad, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria"
Teresa Ginez Serrano,Estado de México,PAN,teresa.ginez@diputados.gob.mx,"Seguridad Ciudadana, Infraestructura, Cambio Climático y Sostenibilidad"
Annia Sarahí Gómez Cárdenas,Nuevo León,PAN,annia.gomez@diputados.gob.mx,"Zonas Metropolitanas, Puntos Constitucionales, Presupuesto y Cuenta Pública"
Carmen Rocío González Alonso,Chihuahua,PAN,carmen.alonso@diputados.gob.mx,"Transparencia y Anticorrupción, Derechos de la Niñez y Adolescencia, Federalismo y Desarrollo Municipal"
María Angélica Granados Trespalacios,Chihuahua,PAN,maria.granados@diputados.gob.mx,"Relaciones Exteriores, Economía, Comercio y Competitividad, Asuntos Frontera Norte"
Miguel Ángel Guevara Rodríguez,Ciudad de México,PAN,miguel.guevara@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Movilidad, Defensa Nacional"
Blanca Leticia Gutiérrez Garza,Tamaulipas,PAN,blanca.gutierrez@diputados.gob.mx,"Igualdad de Género, Comunicaciones y Transportes, Asuntos Migratorios"
Diana Estefanía Gutiérrez Valtierra,Guanajuato,PAN,estefania.gutierrez@diputados.gob.mx,"Vigilancia de la Auditoría Superior de la Federación, Relaciones Exteriores, Medio Ambiente y Recursos Naturales"
María Del Rosario Guzmán Avilés,Veracruz,PAN,mdelrosario.guzman@diputados.gob.mx,"Protección Civil y Prevención de Desastres, Ganadería, Defensa Nacional"
Asael Hernández Cerón,Hidalgo,PAN,asael.hernandez@diputados.gob.mx,"Pueblos Indígenas y Afromexicanos, Medio Ambiente y Recursos Naturales, Gobernación y Población"
José Manuel Hinojosa Pérez,Michoacán,PAN,jose.hinojosa@diputados.gob.mx,"Salud, Pueblos Indígenas y Afromexicanos, Asuntos Migratorios"
Genoveva Huerta Villegas,Puebla,PAN,genoveva.huerta@diputados.gob.mx,"Trabajo y Previsión Social, Pueblos Indígenas y Afromexicanos, Energía"
José Mario Iñiguez Franco,Jalisco,PAN,jose.iniguez@diputados.gob.mx,"Salud, Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria, Deporte"
Julia Licet Jiménez Angulo,Colima,PAN,julia.jimenez@diputados.gob.mx,"Vivienda, Turismo, Marina"
Silvia Patricia Jiménez Delgado,Durango,PAN,patricia.jimenez@diputados.gob.mx,"Presupuesto y Cuenta Pública, Infraestructura, Atención a Grupos Vulnerables"
Theodoros Kalionchiz De La Fuente,Coahuila,PAN,theodoros.kalionchiz@diputados.gob.mx,"Trabajo y Previsión Social, Recursos Hidráulicos, Agua Potable y Saneamiento, Energía"
José Elías Lixa Abimerhi,Yucatán,PAN,elias.lixa@diputados.gob.mx,Relaciones Exteriores
Kenia López Rabadán,Ciudad de México,PAN,kenia.lopez@diputados.gob.mx,diversas comisiones legislativas
Noemí Berenice Luna Ayala,Zacatecas,PAN,noemi.luna@diputados.gob.mx,"Seguridad Social, Reforma Política-Electoral, Puntos Constitucionales"
Laura Cristina Márquez Alcalá,Guanajuato,PAN,laura.marquez@diputados.gob.mx,"Puntos Constitucionales, Educación, Ciencia, Tecnología e Innovación"
Alan Sahir Márquez Becerra,Guanajuato,PAN,alan.marquez@diputados.gob.mx,diversas comisiones legislativas
Elizabeth Martínez Álvarez,Aguascalientes,PAN,elizabeth.alvarez@diputados.gob.mx,"Economía Social y Fomento del Cooperativismo, Atención a Grupos Vulnerables, Derechos de la Niñez y Adolescencia"
Germán Martínez Cázares,Michoacán,PAN,german.martinez@diputados.gob.mx,"Seguridad Social, Jurisdiccional, Cultura y Cinematografía"
Paulo Gonzalo Martínez López,Aguascalientes,PAN,paulo.martinez@diputados.gob.mx,"Recursos Hidráulicos, Agua Potable y Saneamiento, Presupuesto y Cuenta Pública, Ganadería"
Víctor Adrián Martínez Terrazas,Morelos,PAN,adrian.martinez@diputados.gob.mx,"Relaciones Exteriores, Radio y Televisión, Asuntos Migratorios"
Miguel Angel Monraz Ibarra,Jalisco,PAN,miguel.monraz@diputados.gob.mx,"Zonas Metropolitanas, Medio Ambiente y Recursos Naturales, Radio y Televisión"
Martha Amalia Moya Bastón,Estado de México,PAN,martha.moya@diputados.gob.mx,"Protección Civil y Prevención de Desastres, Derechos Humanos, Defensa Nacional"
Jesús Antonio Nader Nasrallah,Tamaulipas,PAN,jesus.nader@diputados.gob.mx,"Energía, Economía, Comercio y Competitividad, Ciencia, Tecnología e Innovación"
Homero Ricardo Niño De Rivera Vela,Nuevo León,PAN,homero.ninoderivera@diputados.gob.mx,"Medio Ambiente y Recursos Naturales, Hacienda y Crédito Público, Defensa Nacional"
Nancy Aracely Olguín Díaz,Nuevo León,PAN,nancy.olguin@diputados.gob.mx,"Presupuesto y Cuenta Pública, Movilidad, Federalismo y Desarrollo Municipal"
